Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;686825.0;29.5;576533.0;24.7
Sozialdemokratische Partei Deutschlands;697183.0;30.0;685534.0;29.4
Alternative für Deutschland;205790.0;8.8;215205.0;9.2
Freie Demokratische Partei;193360.0;8.3;272451.0;11.7
DIE LINKE;84143.0;3.6;76123.0;3.3
BÜNDNIS 90/DIE GRÜNEN;247246.0;10.6;293135.0;12.6
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;116525.0;5.0;84396.0;3.6
PARTEI MENSCH UMWELT TIERSCHUTZ;9487.0;0.4;35759.0;1.5
Piratenpartei Deutschland;1118.0;0.0;9530.0;0.4
Ökologisch-Demokratische Partei;8062.0;0.3;5661.0;0.2
DEMOKRATIE IN BEWEGUNG;;;1796.0;0.1
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;157.0;0.0;469.0;0.0
Menschliche Welt - für das Wohl und Glücklichsein aller;;;;
Deutsche Kommunistische Partei;294.0;0.0;;
Bürgerrechtsbewegung Solidarität;;;;
Partei der Humanisten;486.0;0.0;2284.0;0.1
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;;;;
Basisdemokratische Partei Deutschland;31791.0;1.4;28719.0;1.2
Bündnis C - Christen für Deutschland;;;;
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;;;;
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;1140.0;0.0;;
Volt Deutschland;10420.0;0.4;11110.0;0.5
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;;;;
Übrige;9505.0;0.4;;
