Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;299363.0;24.9;252286.0;21.0
Sozialdemokratische Partei Deutschlands;293197.0;24.4;305085.0;25.4
Alternative für Deutschland;242065.0;20.2;235492.0;19.6
Freie Demokratische Partei;96084.0;8.0;114024.0;9.5
DIE LINKE;127576.0;10.6;115330.0;9.6
BÜNDNIS 90/DIE GRÜNEN;64326.0;5.4;78701.0;6.5
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;32152.0;2.7;22509.0;1.9
PARTEI MENSCH UMWELT TIERSCHUTZ;1969.0;0.2;14483.0;1.2
Piratenpartei Deutschland;;;4067.0;0.3
Ökologisch-Demokratische Partei;302.0;0.0;846.0;0.1
DEMOKRATIE IN BEWEGUNG;;;;
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;620.0;0.1;1042.0;0.1
Menschliche Welt - für das Wohl und Glücklichsein aller;;;;
Deutsche Kommunistische Partei;;;;
Bürgerrechtsbewegung Solidarität;;;;
Partei der Humanisten;;;1415.0;0.1
Gartenpartei;2095.0;0.2;7611.0;0.6
Die Urbane. Eine HipHop Partei;;;1302.0;0.1
Basisdemokratische Partei Deutschland;22554.0;1.9;19213.0;1.6
Bündnis C - Christen für Deutschland;;;;
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;;;;
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Volt Deutschland;;;2097.0;0.2
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;;;;
Übrige;6088.0;0.5;;
