Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;1323070.0;29.3;1093579.0;24.2
Sozialdemokratische Partei Deutschlands;1603785.0;35.5;1498500.0;33.1
Alternative für Deutschland;292032.0;6.5;336434.0;7.4
Freie Demokratische Partei;347802.0;7.7;474638.0;10.5
DIE LINKE;142785.0;3.2;148657.0;3.3
BÜNDNIS 90/DIE GRÜNEN;646848.0;14.3;726613.0;16.1
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;47466.0;1.1;37214.0;0.8
PARTEI MENSCH UMWELT TIERSCHUTZ;25460.0;0.6;57931.0;1.3
Piratenpartei Deutschland;9837.0;0.2;16955.0;0.4
Ökologisch-Demokratische Partei;1711.0;0.0;3484.0;0.1
DEMOKRATIE IN BEWEGUNG;;;;
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;750.0;0.0;808.0;0.0
Menschliche Welt - für das Wohl und Glücklichsein aller;;;;
Deutsche Kommunistische Partei;523.0;0.0;1020.0;0.0
Bürgerrechtsbewegung Solidarität;;;;
Partei der Humanisten;287.0;0.0;3806.0;0.1
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;;;2625.0;0.1
Basisdemokratische Partei Deutschland;52585.0;1.2;46369.0;1.0
Bündnis C - Christen für Deutschland;;;;
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;;;;
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Volt Deutschland;;;11897.0;0.3
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;;;;
Übrige;4613.0;0.1;;
