Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;67992.0;20.8;56499.0;17.2
Sozialdemokratische Partei Deutschlands;108432.0;33.2;103224.0;31.5
Alternative für Deutschland;21565.0;6.6;22575.0;6.9
Freie Demokratische Partei;22398.0;6.8;30481.0;9.3
DIE LINKE;25923.0;7.9;25352.0;7.7
BÜNDNIS 90/DIE GRÜNEN;60490.0;18.5;68427.0;20.9
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;3652.0;1.1;2911.0;0.9
PARTEI MENSCH UMWELT TIERSCHUTZ;2440.0;0.7;4517.0;1.4
Piratenpartei Deutschland;908.0;0.3;;
Ökologisch-Demokratische Partei;713.0;0.2;407.0;0.1
DEMOKRATIE IN BEWEGUNG;;;;
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;266.0;0.1;160.0;0.0
Menschliche Welt - für das Wohl und Glücklichsein aller;;;386.0;0.1
Deutsche Kommunistische Partei;;;;
Bürgerrechtsbewegung Solidarität;;;;
Partei der Humanisten;1016.0;0.3;589.0;0.2
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;;;;
Basisdemokratische Partei Deutschland;4007.0;1.2;3461.0;1.1
Bündnis C - Christen für Deutschland;;;;
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;;;;
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Volt Deutschland;1182.0;0.4;1322.0;0.4
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;;;;
Übrige;;;;
