Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;546282.0;22.2;422879.0;17.2
Sozialdemokratische Partei Deutschlands;410769.0;16.7;474804.0;19.3
Alternative für Deutschland;632881.0;25.7;607044.0;24.6
Freie Demokratische Partei;220062.0;8.9;271166.0;11.0
DIE LINKE;282800.0;11.5;230012.0;9.3
BÜNDNIS 90/DIE GRÜNEN;171384.0;7.0;212320.0;8.6
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;66591.0;2.7;56654.0;2.3
PARTEI MENSCH UMWELT TIERSCHUTZ;;;47939.0;1.9
Piratenpartei Deutschland;5628.0;0.2;10433.0;0.4
Ökologisch-Demokratische Partei;10224.0;0.4;6056.0;0.2
DEMOKRATIE IN BEWEGUNG;;;;
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;1081.0;0.0;1562.0;0.1
Menschliche Welt - für das Wohl und Glücklichsein aller;;;;
Deutsche Kommunistische Partei;;;1725.0;0.1
Bürgerrechtsbewegung Solidarität;210.0;0.0;;
Partei der Humanisten;2232.0;0.1;4003.0;0.2
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;;;;
Basisdemokratische Partei Deutschland;45593.0;1.9;38090.0;1.5
Bündnis C - Christen für Deutschland;2546.0;0.1;7129.0;0.3
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;515.0;0.0;4288.0;0.2
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Volt Deutschland;;;6674.0;0.3
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;;;;
Übrige;18940.0;0.8;;
