Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;180669.0;19.7;160103.0;17.4
Sozialdemokratische Partei Deutschlands;261408.0;28.5;267368.0;29.1
Alternative für Deutschland;169977.0;18.5;165342.0;18.0
Freie Demokratische Partei;66328.0;7.2;75555.0;8.2
DIE LINKE;116033.0;12.6;101735.0;11.1
BÜNDNIS 90/DIE GRÜNEN;62664.0;6.8;71956.0;7.8
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;17781.0;1.9;13344.0;1.5
PARTEI MENSCH UMWELT TIERSCHUTZ;14324.0;1.6;20582.0;2.2
Piratenpartei Deutschland;3812.0;0.4;4259.0;0.5
Ökologisch-Demokratische Partei;;;1189.0;0.1
DEMOKRATIE IN BEWEGUNG;;;;
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;1270.0;0.1;709.0;0.1
Menschliche Welt - für das Wohl und Glücklichsein aller;;;;
Deutsche Kommunistische Partei;;;754.0;0.1
Bürgerrechtsbewegung Solidarität;;;;
Partei der Humanisten;;;1277.0;0.1
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;;;;
Basisdemokratische Partei Deutschland;16019.0;1.7;16336.0;1.8
Bündnis C - Christen für Deutschland;;;;
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;;;;
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;1019.0;0.1;;
Volt Deutschland;;;1904.0;0.2
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;;;;
Übrige;3090.0;0.3;;
