Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;;;;
Sozialdemokratische Partei Deutschlands;1316303.0;17.4;1361242.0;18.0
Alternative für Deutschland;634098.0;8.4;679915.0;9.0
Freie Demokratische Partei;579804.0;7.7;798591.0;10.5
DIE LINKE;187530.0;2.5;210838.0;2.8
BÜNDNIS 90/DIE GRÜNEN;1023735.0;13.6;1067830.0;14.1
Christlich-Soziale Union in Bayern e.V.;2788048.0;36.9;2402827.0;31.7
FREIE WÄHLER;587357.0;7.8;566880.0;7.5
PARTEI MENSCH UMWELT TIERSCHUTZ;20429.0;0.3;80911.0;1.1
Piratenpartei Deutschland;9150.0;0.1;25865.0;0.3
Ökologisch-Demokratische Partei;96378.0;1.3;51124.0;0.7
DEMOKRATIE IN BEWEGUNG;;;;
Bayernpartei;36748.0;0.5;32790.0;0.4
Marxistisch-Leninistische Partei Deutschlands;1258.0;0.0;1251.0;0.0
Menschliche Welt - für das Wohl und Glücklichsein aller;;;;
Deutsche Kommunistische Partei;;;1288.0;0.0
Bürgerrechtsbewegung Solidarität;416.0;0.0;;
Partei der Humanisten;1434.0;0.0;6689.0;0.1
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;793.0;0.0;4200.0;0.1
Basisdemokratische Partei Deutschland;156556.0;2.1;131988.0;1.7
Bündnis C - Christen für Deutschland;466.0;0.0;5574.0;0.1
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;;;3544.0;0.0
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;1952.0;0.0;13623.0;0.2
Volt Deutschland;14028.0;0.2;21434.0;0.3
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;;;;
Übrige;24116.0;0.3;;
