Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;159323.0;27.8;135134.0;23.6
Sozialdemokratische Partei Deutschlands;208329.0;36.4;213777.0;37.3
Alternative für Deutschland;56236.0;9.8;57629.0;10.0
Freie Demokratische Partei;46793.0;8.2;65945.0;11.5
DIE LINKE;30211.0;5.3;41130.0;7.2
BÜNDNIS 90/DIE GRÜNEN;31091.0;5.4;;
Christlich-Soziale Union in Bayern e.V.;;;;
FREIE WÄHLER;14936.0;2.6;11746.0;2.0
PARTEI MENSCH UMWELT TIERSCHUTZ;;;16231.0;2.8
Piratenpartei Deutschland;;;3419.0;0.6
Ökologisch-Demokratische Partei;2872.0;0.5;2531.0;0.4
DEMOKRATIE IN BEWEGUNG;;;;
Bayernpartei;;;;
Marxistisch-Leninistische Partei Deutschlands;201.0;0.0;357.0;0.1
Menschliche Welt - für das Wohl und Glücklichsein aller;;;;
Deutsche Kommunistische Partei;;;;
Bürgerrechtsbewegung Solidarität;;;;
Partei der Humanisten;;;;
Gartenpartei;;;;
Die Urbane. Eine HipHop Partei;;;;
Basisdemokratische Partei Deutschland;8982.0;1.6;8116.0;1.4
Bündnis C - Christen für Deutschland;;;;
Bürgerbewegung für Fortschritt und Wandel;;;;
DER DRITTE WEG;;;;
diePinken/BÜNDNIS21;;;;
Europäische Partei LIEBE;;;;
Partei des Fortschritts;;;;
Südschleswigscher Wählerverband;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Volt Deutschland;;;4019.0;0.7
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;;;
DIE SONSTIGEN - X;;;;
Familien-Partei Deutschlands;;;;
Graue Panther;;;;
Klimaliste Baden-Württemberg;;;;
Thüringer Heimatpartei;;;;
Übrige;299.0;0.1;;
