Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;682287.0;39.8;583135.0;34.0
Sozialdemokratische Partei Deutschlands;493279.0;28.8;399505.0;23.3
DIE LINKE;90574.0;5.3;124678.0;7.3
BÜNDNIS 90/DIE GRÜNEN;163580.0;9.5;205471.0;12.0
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;131703.0;7.7;216844.0;12.6
Alternative für Deutschland;128641.0;7.5;140362.0;8.2
Piratenpartei Deutschland;;;;
Nationaldemokratische Partei Deutschlands;;;4210.0;0.2
FREIE WÄHLER;15957.0;0.9;11095.0;0.6
PARTEI MENSCH UMWELT TIERSCHUTZ;;;;
Ökologisch-Demokratische Partei;;;3116.0;0.2
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;1381.0;0.1;823.0;0.0
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;5670.0;0.3
DEMOKRATIE IN BEWEGUNG;;;;
Deutsche Kommunistische Partei;;;;
Deutsche Mitte;;;;
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;506.0;0.0;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;755.0;0.0;;
