Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;401454.0;32.4;377411.0;30.3
Sozialdemokratische Partei Deutschlands;213058.0;17.2;188980.0;15.2
DIE LINKE;238047.0;19.2;220858.0;17.7
BÜNDNIS 90/DIE GRÜNEN;38938.0;3.1;46243.0;3.7
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;81211.0;6.5;96555.0;7.8
Alternative für Deutschland;210127.0;16.9;244401.0;19.6
Piratenpartei Deutschland;;;;
Nationaldemokratische Partei Deutschlands;15364.0;1.2;9737.0;0.8
FREIE WÄHLER;28163.0;2.3;14392.0;1.2
PARTEI MENSCH UMWELT TIERSCHUTZ;;;;
Ökologisch-Demokratische Partei;;;;
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;2039.0;0.2;1847.0;0.1
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;3762.0;0.3
DEMOKRATIE IN BEWEGUNG;;;2908.0;0.2
Deutsche Kommunistische Partei;;;;
Deutsche Mitte;;;;
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;2570.0;0.2;5617.0;0.5
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;3266.0;0.3;;
