Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;;;;
Sozialdemokratische Partei Deutschlands;1336404.0;18.1;1130931.0;15.3
DIE LINKE;384368.0;5.2;450803.0;6.1
BÜNDNIS 90/DIE GRÜNEN;661356.0;9.0;722116.0;9.8
Christlich-Soziale Union in Bayern e.V.;3255487.0;44.2;2869688.0;38.8
Freie Demokratische Partei;477884.0;6.5;751248.0;10.2
Alternative für Deutschland;773542.0;10.5;916300.0;12.4
Piratenpartei Deutschland;10421.0;0.1;26866.0;0.4
Nationaldemokratische Partei Deutschlands;583.0;0.0;20611.0;0.3
FREIE WÄHLER;250119.0;3.4;199198.0;2.7
PARTEI MENSCH UMWELT TIERSCHUTZ;;;66218.0;0.9
Ökologisch-Demokratische Partei;119103.0;1.6;66801.0;0.9
Bayernpartei;62622.0;0.8;58037.0;0.8
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;2309.0;0.0;2213.0;0.0
Bürgerrechtsbewegung Solidarität;2130.0;0.0;1284.0;0.0
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;10394.0;0.1
DEMOKRATIE IN BEWEGUNG;;;12073.0;0.2
Deutsche Kommunistische Partei;;;1213.0;0.0
Deutsche Mitte;;;12689.0;0.2
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;9529.0;0.1
Bündnis C - Christen für Deutschland;358.0;0.0;;
DIE EINHEIT;;;;
Die Violetten;670.0;0.0;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;2458.0;0.0;;
Übrige;18670.0;0.3;;
