Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;1777588.0;38.3;1623481.0;34.9
Sozialdemokratische Partei Deutschlands;1557197.0;33.6;1275172.0;27.4
DIE LINKE;273064.0;5.9;322979.0;7.0
BÜNDNIS 90/DIE GRÜNEN;334541.0;7.2;404825.0;8.7
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;264801.0;5.7;431405.0;9.3
Alternative für Deutschland;369663.0;8.0;422362.0;9.1
Piratenpartei Deutschland;13214.0;0.3;17683.0;0.4
Nationaldemokratische Partei Deutschlands;;;12034.0;0.3
FREIE WÄHLER;23538.0;0.5;19178.0;0.4
PARTEI MENSCH UMWELT TIERSCHUTZ;;;40487.0;0.9
Ökologisch-Demokratische Partei;809.0;0.0;4771.0;0.1
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;1522.0;0.0;1616.0;0.0
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;8084.0;0.2
DEMOKRATIE IN BEWEGUNG;;;6349.0;0.1
Deutsche Kommunistische Partei;1331.0;0.0;1100.0;0.0
Deutsche Mitte;;;8146.0;0.2
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;953.0;0.0;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;4370.0;0.1;;
