Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;2350054.0;39.3;2061687.0;34.4
Sozialdemokratische Partei Deutschlands;1166668.0;19.5;982370.0;16.4
DIE LINKE;325019.0;5.4;380727.0;6.4
BÜNDNIS 90/DIE GRÜNEN;801880.0;13.4;807205.0;13.5
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;517512.0;8.6;762008.0;12.7
Alternative für Deutschland;690128.0;11.5;730499.0;12.2
Piratenpartei Deutschland;11340.0;0.2;27205.0;0.5
Nationaldemokratische Partei Deutschlands;2056.0;0.0;15745.0;0.3
FREIE WÄHLER;33732.0;0.6;42133.0;0.7
PARTEI MENSCH UMWELT TIERSCHUTZ;20756.0;0.3;51355.0;0.9
Ökologisch-Demokratische Partei;18341.0;0.3;21813.0;0.4
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;7045.0;0.1;4276.0;0.1
Bürgerrechtsbewegung Solidarität;199.0;0.0;;
DIE RECHTE;1142.0;0.0;2054.0;0.0
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;10647.0;0.2
DEMOKRATIE IN BEWEGUNG;;;9241.0;0.2
Deutsche Kommunistische Partei;;;1006.0;0.0
Deutsche Mitte;;;10395.0;0.2
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;652.0;0.0;7612.0;0.1
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;406.0;0.0;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;7781.0;0.1;;
