Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;211855.0;36.2;189573.0;32.4
Sozialdemokratische Partei Deutschlands;184511.0;31.5;158895.0;27.1
DIE LINKE;65712.0;11.2;75448.0;12.9
BÜNDNIS 90/DIE GRÜNEN;26116.0;4.5;35117.0;6.0
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;27627.0;4.7;44477.0;7.6
Alternative für Deutschland;54587.0;9.3;58920.0;10.1
Piratenpartei Deutschland;2325.0;0.4;2937.0;0.5
Nationaldemokratische Partei Deutschlands;947.0;0.2;3106.0;0.5
FREIE WÄHLER;6959.0;1.2;4825.0;0.8
PARTEI MENSCH UMWELT TIERSCHUTZ;;;;
Ökologisch-Demokratische Partei;;;;
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;242.0;0.0;533.0;0.1
Marxistisch-Leninistische Partei Deutschlands;572.0;0.1;427.0;0.1
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;1025.0;0.2
DEMOKRATIE IN BEWEGUNG;;;;
Deutsche Kommunistische Partei;;;;
Deutsche Mitte;;;886.0;0.2
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;;;;
