Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;460296.0;24.7;424321.0;22.7
Sozialdemokratische Partei Deutschlands;391772.0;21.0;334253.0;17.9
DIE LINKE;377564.0;20.2;351170.0;18.8
BÜNDNIS 90/DIE GRÜNEN;230935.0;12.4;234947.0;12.6
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;105053.0;5.6;167046.0;8.9
Alternative für Deutschland;212211.0;11.4;225170.0;12.0
Piratenpartei Deutschland;3005.0;0.2;10894.0;0.6
Nationaldemokratische Partei Deutschlands;1951.0;0.1;;
FREIE WÄHLER;5720.0;0.3;5354.0;0.3
PARTEI MENSCH UMWELT TIERSCHUTZ;;;25415.0;1.4
Ökologisch-Demokratische Partei;2663.0;0.1;3206.0;0.2
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;1843.0;0.1;1617.0;0.1
Bürgerrechtsbewegung Solidarität;3033.0;0.2;1198.0;0.1
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;6926.0;0.4
DEMOKRATIE IN BEWEGUNG;;;7467.0;0.4
Deutsche Kommunistische Partei;;;1685.0;0.1
Deutsche Mitte;;;4212.0;0.2
Die Urbane. Eine HipHop Partei;772.0;0.0;3032.0;0.2
Magdeburger Gartenpartei;;;;
Menschliche Welt;766.0;0.0;3144.0;0.2
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;1537.0;0.1;4832.0;0.3
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;439.0;0.0;;
Mieterpartei;1352.0;0.1;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;5783.0;0.3;;
