Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;932382.0;39.6;848003.0;35.9
Sozialdemokratische Partei Deutschlands;676438.0;28.8;570518.0;24.1
DIE LINKE;133323.0;5.7;160912.0;6.8
BÜNDNIS 90/DIE GRÜNEN;140906.0;6.0;179233.0;7.6
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;161479.0;6.9;245235.0;10.4
Alternative für Deutschland;223659.0;9.5;265688.0;11.2
Piratenpartei Deutschland;3830.0;0.2;10792.0;0.5
Nationaldemokratische Partei Deutschlands;1495.0;0.1;7025.0;0.3
FREIE WÄHLER;54294.0;2.3;32263.0;1.4
PARTEI MENSCH UMWELT TIERSCHUTZ;;;;
Ökologisch-Demokratische Partei;7107.0;0.3;7330.0;0.3
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;581.0;0.0;842.0;0.0
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;4505.0;0.2
DEMOKRATIE IN BEWEGUNG;;;;
Deutsche Kommunistische Partei;;;;
Deutsche Mitte;;;;
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;371.0;0.0;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;4493.0;0.2;;
