Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;277677.0;28.5;266312.0;27.2
Sozialdemokratische Partei Deutschlands;311889.0;32.0;229862.0;23.5
DIE LINKE;105242.0;10.8;119076.0;12.2
BÜNDNIS 90/DIE GRÜNEN;114485.0;11.7;136371.0;13.9
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;69178.0;7.1;105610.0;10.8
Alternative für Deutschland;71527.0;7.3;76511.0;7.8
Piratenpartei Deutschland;;;;
Nationaldemokratische Partei Deutschlands;1245.0;0.1;1799.0;0.2
FREIE WÄHLER;5426.0;0.6;3458.0;0.4
PARTEI MENSCH UMWELT TIERSCHUTZ;;;8813.0;0.9
Ökologisch-Demokratische Partei;3369.0;0.3;2778.0;0.3
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;1123.0;0.1;688.0;0.1
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;4573.0;0.5
DEMOKRATIE IN BEWEGUNG;;;4199.0;0.4
Deutsche Kommunistische Partei;;;511.0;0.1
Deutsche Mitte;;;;
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;3085.0;0.3;;
