Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;3756952.0;38.3;3214013.0;32.6
Sozialdemokratische Partei Deutschlands;3073698.0;31.3;2557876.0;26.0
DIE LINKE;626631.0;6.4;736904.0;7.5
BÜNDNIS 90/DIE GRÜNEN;641360.0;6.5;744970.0;7.6
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;787235.0;8.0;1293052.0;13.1
Alternative für Deutschland;799777.0;8.1;928425.0;9.4
Piratenpartei Deutschland;28162.0;0.3;43580.0;0.4
Nationaldemokratische Partei Deutschlands;;;21287.0;0.2
FREIE WÄHLER;26201.0;0.3;27788.0;0.3
PARTEI MENSCH UMWELT TIERSCHUTZ;;;73941.0;0.8
Ökologisch-Demokratische Partei;5331.0;0.1;12044.0;0.1
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;6316.0;0.1;9631.0;0.1
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;10466.0;0.1;6425.0;0.1
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;41251.0;0.4
Bündnis Grundeinkommen;;;9971.0;0.1
DEMOKRATIE IN BEWEGUNG;;;12202.0;0.1
Deutsche Kommunistische Partei;1284.0;0.0;2217.0;0.0
Deutsche Mitte;;;9859.0;0.1
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;5991.0;0.1
Partei für Gesundheitsforschung;;;9043.0;0.1
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;984.0;0.0;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;11156.0;0.1;;
