Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;432157.0;29.0;397839.0;26.7
Sozialdemokratische Partei Deutschlands;304896.0;20.5;261822.0;17.6
DIE LINKE;256497.0;17.2;255721.0;17.2
BÜNDNIS 90/DIE GRÜNEN;67253.0;4.5;74971.0;5.0
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;75734.0;5.1;105485.0;7.1
Alternative für Deutschland;289204.0;19.4;301103.0;20.2
Piratenpartei Deutschland;4925.0;0.3;;
Nationaldemokratische Partei Deutschlands;1369.0;0.1;12993.0;0.9
FREIE WÄHLER;28547.0;1.9;17762.0;1.2
PARTEI MENSCH UMWELT TIERSCHUTZ;;;26243.0;1.8
Ökologisch-Demokratische Partei;;;2496.0;0.2
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;772.0;0.1;1277.0;0.1
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;6066.0;0.4
DEMOKRATIE IN BEWEGUNG;;;;
Deutsche Kommunistische Partei;4668.0;0.3;2514.0;0.2
Deutsche Mitte;;;5068.0;0.3
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;4995.0;0.3;;
