Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;756206.0;30.6;665751.0;26.9
Sozialdemokratische Partei Deutschlands;289109.0;11.7;261105.0;10.5
DIE LINKE;432722.0;17.5;398627.0;16.1
BÜNDNIS 90/DIE GRÜNEN;112300.0;4.5;113608.0;4.6
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;165449.0;6.7;203662.0;8.2
Alternative für Deutschland;628048.0;25.4;669940.0;27.0
Piratenpartei Deutschland;7286.0;0.3;11056.0;0.4
Nationaldemokratische Partei Deutschlands;4079.0;0.2;28215.0;1.1
FREIE WÄHLER;13761.0;0.6;27471.0;1.1
PARTEI MENSCH UMWELT TIERSCHUTZ;;;35121.0;1.4
Ökologisch-Demokratische Partei;3622.0;0.1;6809.0;0.3
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;779.0;0.0;2566.0;0.1
Bürgerrechtsbewegung Solidarität;10598.0;0.4;3490.0;0.1
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;9451.0;0.4
DEMOKRATIE IN BEWEGUNG;;;6475.0;0.3
Deutsche Kommunistische Partei;;;;
Deutsche Mitte;;;;
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;23967.0;1.0;;
