Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;316662.0;34.2;307263.0;33.1
Sozialdemokratische Partei Deutschlands;161437.0;17.4;139689.0;15.1
DIE LINKE;171130.0;18.5;165368.0;17.8
BÜNDNIS 90/DIE GRÜNEN;33746.0;3.6;39514.0;4.3
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;43899.0;4.7;57895.0;6.2
Alternative für Deutschland;168456.0;18.2;172409.0;18.6
Piratenpartei Deutschland;;;;
Nationaldemokratische Partei Deutschlands;7977.0;0.9;10408.0;1.1
FREIE WÄHLER;13794.0;1.5;7543.0;0.8
PARTEI MENSCH UMWELT TIERSCHUTZ;2161.0;0.2;12507.0;1.3
Ökologisch-Demokratische Partei;591.0;0.1;1205.0;0.1
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;1666.0;0.2;1366.0;0.1
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;3034.0;0.3
DEMOKRATIE IN BEWEGUNG;;;;
Deutsche Kommunistische Partei;;;;
Deutsche Mitte;;;;
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;695.0;0.1;;
