Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;1185393.0;35.4;1033200.0;30.9
Sozialdemokratische Partei Deutschlands;974954.0;29.2;788427.0;23.5
DIE LINKE;220145.0;6.6;271158.0;8.1
BÜNDNIS 90/DIE GRÜNEN;270221.0;8.1;323736.0;9.7
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;238437.0;7.1;386742.0;11.5
Alternative für Deutschland;375528.0;11.2;398712.0;11.9
Piratenpartei Deutschland;5844.0;0.2;14448.0;0.4
Nationaldemokratische Partei Deutschlands;4423.0;0.1;11904.0;0.4
FREIE WÄHLER;48199.0;1.4;28507.0;0.9
PARTEI MENSCH UMWELT TIERSCHUTZ;;;34079.0;1.0
Ökologisch-Demokratische Partei;;;6042.0;0.2
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;1869.0;0.1;1627.0;0.0
Bürgerrechtsbewegung Solidarität;;;721.0;0.0
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;6320.0;0.2
DEMOKRATIE IN BEWEGUNG;;;;
Deutsche Kommunistische Partei;234.0;0.0;1138.0;0.0
Deutsche Mitte;;;6393.0;0.2
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;522.0;0.0;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;4900.0;0.1;;
