Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
Christlich Demokratische Union Deutschlands;408513.0;31.6;372258.0;28.8
Sozialdemokratische Partei Deutschlands;188802.0;14.6;171032.0;13.2
DIE LINKE;227194.0;17.6;218212.0;16.9
BÜNDNIS 90/DIE GRÜNEN;46919.0;3.6;53340.0;4.1
Christlich-Soziale Union in Bayern e.V.;;;;
Freie Demokratische Partei;71579.0;5.5;101129.0;7.8
Alternative für Deutschland;291466.0;22.5;294069.0;22.7
Piratenpartei Deutschland;2844.0;0.2;6057.0;0.5
Nationaldemokratische Partei Deutschlands;3193.0;0.2;16083.0;1.2
FREIE WÄHLER;33707.0;2.6;21131.0;1.6
PARTEI MENSCH UMWELT TIERSCHUTZ;;;;
Ökologisch-Demokratische Partei;5292.0;0.4;6398.0;0.5
Bayernpartei;;;;
Ab jetzt...Demokratie durch Volksabstimmung;;;;
Partei der Vernunft;;;;
Marxistisch-Leninistische Partei Deutschlands;1293.0;0.1;1902.0;0.1
Bürgerrechtsbewegung Solidarität;;;;
DIE RECHTE;;;;
Allianz Deutscher Demokraten;;;;
Bündnis Grundeinkommen;;;5307.0;0.4
DEMOKRATIE IN BEWEGUNG;;;;
Deutsche Kommunistische Partei;;;;
Deutsche Mitte;;;4948.0;0.4
Die Urbane. Eine HipHop Partei;;;;
Magdeburger Gartenpartei;;;;
Menschliche Welt;;;;
Partei der Humanisten;;;;
Partei für Gesundheitsforschung;;;;
Bündnis C - Christen für Deutschland;;;;
DIE EINHEIT;;;;
Die Violetten;;;;
Familien-Partei Deutschlands;;;;
Feministische Partei DIE FRAUEN;;;;
Mieterpartei;;;;
UNABHÄNGIGE für bürgernahe Demokratie;;;;
Übrige;6973.0;0.5;;
