Party;Erststimmen (total);Erststimmen (%);Zweitstimmen (total);Zweitstimmen (%)
CDU;1302187;51.2;1229313;48.0
SPD;597370;23.5;621620;24.3
FDP;85939;3.4;98494;3.8
CSU;0;0.0;0;0.0
GRÜNE;107424;4.2;122594;4.8
PDS;437856;17.2;427692;16.7
REP;3182;0.1;35483;1.4
APD;0;0.0;0;0.0
BP;0;0.0;0;0.0
BüSo;602;0.0;0;0.0
BSA;0;0.0;0;0.0
LIGA;0;0.0;0;0.0
CM;0;0.0;0;0.0
ZENTRUM;0;0.0;0;0.0
GRAUE;4222;0.2;13501;0.5
NATURGESETZ;0;0.0;0;0.0
MLPD;126;0.0;819;0.0
Tierschutz;0;0.0;0;0.0
ödp;0;0.0;4799;0.2
PBC;0;0.0;7836;0.3
PASS;0;0.0;0;0.0
STATT Partei;0;0.0;0;0.0
BGD;0;0.0;0;0.0
DSU;1435;0.1;606;0.0
DEMOKRATEN;0;0.0;0;0.0
FSU;0;0.0;0;0.0
LD;0;0.0;0;0.0
